date	name	return
2026-02-28T00:00:00	Conservative	0.8700
2026-02-28T00:00:00	SRI - Balanced	1.2300
2026-02-28T00:00:00	Indexed Balanced	1.5400
2026-02-28T00:00:00	Balanced	1.0500
2026-02-28T00:00:00	Growth	1.1700
2026-02-28T00:00:00	Cash	0.2800
2026-02-28T00:00:00	Bonds	0.9100
2026-02-28T00:00:00	Australian Shares	1.2700
2026-02-28T00:00:00	International Shares	1.3500
2026-02-28T00:00:00	International Shares - Indexed	-1.0400
2026-02-28T00:00:00	Bonds – Indexed	1.0000
2026-02-28T00:00:00	Australian Shares – Indexed	3.7400
2026-02-28T00:00:00	Defensive	0.5700
2026-02-28T00:00:00	Indexed Defensive	0.7100
2026-02-28T00:00:00	SRI - Defensive	0.6200
2026-02-28T00:00:00	High Growth	1.3400
2026-02-28T00:00:00	Indexed High Growth	1.6600
2026-02-28T00:00:00	SRI - High Growth	1.3700
2026-02-28T00:00:00	Indexed Growth 	1.6200
2026-02-28T00:00:00	Indexed Conservative	1.2300
2026-02-28T00:00:00	Indexed Stable	1.0200
2026-01-31T00:00:00	Stable	0.6200
2026-01-31T00:00:00	Conservative	0.7800
2026-01-31T00:00:00	SRI - Balanced	0.4300
2026-01-31T00:00:00	Indexed Balanced	0.6400
2026-01-31T00:00:00	Balanced	0.9500
2026-01-31T00:00:00	Growth	0.9100
2026-01-31T00:00:00	Cash	0.3000
2026-01-31T00:00:00	Bonds	0.2800
2026-01-31T00:00:00	Australian Shares	2.0500
2026-01-31T00:00:00	International Shares	0.0200
2026-01-31T00:00:00	International Shares - Indexed	-2.7400
2026-01-31T00:00:00	Bonds – Indexed	0.2600
2026-01-31T00:00:00	Australian Shares – Indexed	1.6700
2026-01-31T00:00:00	Defensive	0.3700
2026-01-31T00:00:00	Indexed Defensive	0.2800
2026-01-31T00:00:00	SRI - Defensive	0.2800
2026-01-31T00:00:00	High Growth	0.8400
2026-01-31T00:00:00	Indexed High Growth	0.4500
2026-01-31T00:00:00	SRI - High Growth	-0.0700
2026-01-31T00:00:00	Indexed Growth 	0.7000
2026-01-31T00:00:00	Indexed Conservative	0.5200
2026-01-31T00:00:00	Indexed Stable	0.3900
2026-01-31T00:00:00	Stable	0.6200
2026-01-31T00:00:00	Conservative	0.7800
2026-01-31T00:00:00	SRI - Balanced	0.4300
2026-01-31T00:00:00	Indexed Balanced	0.6400
2026-01-31T00:00:00	Balanced	0.9500
2026-01-31T00:00:00	Growth	0.9100
2026-01-31T00:00:00	Cash	0.3000
2026-01-31T00:00:00	Bonds	0.2800
